ACCIDENT_NUMBER,EVENT_DATE,CITY,STATE,LATITUDE,LONGITUDE,INJURY_SEVERITY,AIRCRAFT_DAMAGE,AIRCRAFT_CATEGORY,MAKE,MODEL,TOTAL_FATALITIES,TOTAL_INJURIES,TOTAL_UNINJURED
CEN21FA130,2/16/2021,JANESVILLE, WI,42.595377,-89.030245,FATAL,SUBSTANTIAL,AIRPLANE,VELOCITY,VTWIN,2,0,0
ANC21LA017,2/13/2021,TYONEK, AK,61.336392,-152.01643,MINOR,SUBSTANTIAL,AIRPLANE,MAULE,M-6-235,0,2,0
CEN21LA127,2/12/2021,PRAIRIE DU SAC, WI,43.297731,-89.755693,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172N,0,0,1
ERA21LA131,2/10/2021,LAKE PLACID, FL,27.243723,-81.413767,MINOR,SUBSTANTIAL,AIRPLANE,PIPER,PA-18,0,1,0
CEN21FA125,2/8/2021,GALT, MO,40.10722,-93.37464,FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,177RG,2,0,0
WPR21LA109,2/8/2021,MESA, AZ,33.461769,-111.73046,NON-FATAL,SUBSTANTIAL,HELICOPTER,MD HELICOPTER,369,0,0,2
ERA21LA128,2/8/2021,ORANGE COUNTY, VA,38.247194,-78.045611,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,0,0,1
WPR21LA112,2/8/2021,PRICE, UT,39.613889,-110.75161,NON-FATAL,SUBSTANTIAL,AIRPLANE,MAULE,M-5-180C,0,0,1
WPR21LA108,2/8/2021,SARATOGA, WY,42.1,-107.58,MINOR,SUBSTANTIAL,AIRPLANE,ABBETT GERRY,LANCAIR EVOLUTION,0,2,0
ERA21LA125,2/7/2021,COLUMBIA, SC,33.938889,-81.119445,MINOR,SUBSTANTIAL,AIRPLANE,TAYLORCRAFT,BC-65,0,1,0
WPR21LA107,2/5/2021,HORSESHOE BEND, ID,44.00019,-116.13546,SERIOUS,SUBSTANTIAL,HELICOPTER,HUGHES,OH-6A,0,2,0
WPR21LA106,2/5/2021,THERMAL, CA,33.62,-116.15,NON-FATAL,SUBSTANTIAL,AIRPLANE,JABIRU,SP 250,0,0,1
ERA21LA126,2/4/2021,PAHOKEE, FL,26.746586,-80.655618,NON-FATAL,SUBSTANTIAL,HELICOPTER,BELL,206,0,0,2
CEN21LA123,2/3/2021,WEIDMAN, MI,43.720649,-85.002243,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3,0,0,0
CEN21LA121,2/2/2021,HACKBERRY, LA,30.009412,-93.330048,FATAL,DESTROYED,AIRPLANE,CESSNA,182Q,2,0,0
